front,back
Bonjour,Hello
Au revoir,Goodbye
Merci,Thank you
De rien,You're welcome
S'il vous plaît,Please
Excusez-moi,Excuse me
Comment allez-vous?,How are you?
Je vais bien,I'm doing well
Comment vous appelez-vous?,What is your name?
Je m'appelle...,My name is...
Où est...?,Where is...?
Combien ça coûte?,How much does it cost?
Je ne comprends pas,I don't understand
Pouvez-vous répéter?,Can you repeat?
Parlez-vous anglais?,Do you speak English?
Je ne parle pas français,I don't speak French
Quelle heure est-il?,What time is it?
Aujourd'hui,Today
Hier,Yesterday
Demain,Tomorrow
L'eau,Water
La nourriture,Food
Le pain,Bread
Le fromage,Cheese
Le vin,Wine
La bière,Beer
Le café,Coffee
Le thé,Tea
La maison,House
La voiture,Car
Le train,Train
L'avion,Airplane
L'hôtel,Hotel
Le restaurant,Restaurant
La banque,Bank
L'hôpital,Hospital
L'école,School
Le travail,Work
La famille,Family
Les amis,Friends
Rouge,Red
Bleu,Blue
Vert,Green
Jaune,Yellow
Noir,Black
Blanc,White
Grand,Big
Petit,Small
Chaud,Hot
Froid,Cold
Bon,Good
Mauvais,Bad
Facile,Easy
Difficile,Difficult
Rapide,Fast
Lent,Slow
Nouveau,New
Ancien,Old
Beau,Beautiful
Laid,Ugly
Heureux,Happy
Triste,Sad
Fatigué,Tired
Malade,Sick
Un,One
Deux,Two
Trois,Three
Quatre,Four
Cinq,Five
Six,Six
Sept,Seven
Huit,Eight
Neuf,Nine
Dix,Ten
Vingt,Twenty
Trente,Thirty
Quarante,Forty
Cinquante,Fifty
Cent,One hundred
Mille,One thousand
Lundi,Monday
Mardi,Tuesday
Mercredi,Wednesday
Jeudi,Thursday
Vendredi,Friday
Samedi,Saturday
Dimanche,Sunday
Janvier,January
Février,February
Mars,March
Avril,April
Mai,May
Juin,June
Juillet,July
Août,August
Septembre,September
Octobre,October
Novembre,November
Décembre,December
Le matin,Morning
L'après-midi,Afternoon
Le soir,Evening
La nuit,Night
Oui,Yes
Non,No
Peut-être,Maybe
Toujours,Always
Jamais,Never
Souvent,Often
Parfois,Sometimes
